task,precedingTaskNum,goalType,goalFactor,rewardGold,rewardGam,rewardSupplyBox,rewardRankPoint,characterNum
10101,0,0,0,50000,50,0,1,4
20101,10101,0,0,25000,10,0,2,4
30101,20101,0,0,25000,10,0,3,4
40101,30101,3,2,5000,11,0,4,4
40102,40101,3,3,8000,12,0,5,4
40103,40102,3,4,11000,13,0,6,4
50101,40101,8,0,11000,9,0,7,4
50102,50101,8,0,12000,14,0,15,4
50103,50103,8,0,13000,21,0,17,4
60101,50101,0,0,14000,10,0,10,4
70101,60101,0,0,0,0,0,0,16
80101,70101,0,0,0,0,0,0,4
90101,80101,0,0,0,0,0,0,7
100101,90101,0,0,0,0,0,0,2
110101,100101,0,0,0,0,0,0,11
120101,110101,0,0,0,0,0,0,1
130101,120101,0,0,0,0,0,0,3
